Listing_Month,Sale_Price,Built_Renovated,Grade,Condition,Living_Area,Total_Basement,Finished_Basement,Bedrooms,Bathrooms,Zoning,Lot_size ,Per_Sqft_Price,Sale_Rank
June,748125,2004,Excellent,Average,5220,1000,0,5,3.5,R1,13664,143.3189655,Slow_Sale
Febuary,472500,1982,Average,Average,1750,790,260,3,2,R4,15500,270,Slow_Sale
May,689000,1993,Very Good,Average,3220,0,0,4,2.75,R4,16145,213.9751553,Slow_Sale
April,445000,1977,Average,Average,1190,730,0,2,1.5,R4,16910,373.9495798,Slow_Sale
June,410000,1985,Low Average,Average,1010,0,0,3,1,R4,22478,405.9405941,Slow_Sale
March,982000,2014,Very Good,Average,3920,1040,1040,4,3.5,SF-E,24948,250.5102041,Slow_Sale
April,580000,1980,Good,Average,2130,790,640,4,2.5,R1,35752,272.3004695,Slow_Sale
April,610000,1976,Good,Very Good,2600,1500,1020,4,2.75,R4,36583,234.6153846,Slow_Sale
Febuary,645000,1987,Better,Average,2850,0,0,4,2.5,R4,37522,226.3157895,Slow_Sale
January,650000,1983,Good,Average,2490,0,0,5,3.5,R4,37670,261.0441767,Slow_Sale
January,600000,1992,Good,Good,1670,0,0,3,1.75,R4,39639,359.2814371,Slow_Sale
May,710000,1995,Good,Good,2710,1020,1020,4,2.75,R4,41811,261.9926199,Slow_Sale
April,663000,1967,Average,Average,2840,1260,1260,3,2.25,R4,59677,233.4507042,Slow_Sale
